店铺,month,买家账号
yeehooluxury旗舰店,9,13
京东--海澜优选生活馆旗舰店,4,1
京东--海澜优选生活馆旗舰店,5,19
京东--海澜优选生活馆旗舰店,6,7
京东--海澜优选生活馆旗舰店,7,97
京东--海澜优选生活馆旗舰店,8,2740
京东--海澜优选生活馆旗舰店,9,22451
半自由旗舰店,9,7480
唯品--海澜优选VIP,4,24
唯品--海澜优选VIP,5,235
唯品--海澜优选VIP,6,307
唯品--海澜优选VIP,7,161
唯品--海澜优选VIP,8,1300
唯品--海澜优选VIP,9,6837
天猫-海澜优选生活馆旗舰店,1,4
天猫-海澜优选生活馆旗舰店,2,2
天猫-海澜优选生活馆旗舰店,3,6
天猫-海澜优选生活馆旗舰店,4,4
天猫-海澜优选生活馆旗舰店,5,34
天猫-海澜优选生活馆旗舰店,6,6020
天猫-海澜优选生活馆旗舰店,7,19439
天猫-海澜优选生活馆旗舰店,8,2733
天猫-海澜优选生活馆旗舰店,9,29063
快手--海澜优选官方旗舰店,5,9
快手--海澜优选官方旗舰店,6,2
抖音--海澜优选家纺家居旗舰店,4,3
抖音--海澜优选家纺家居旗舰店,5,183
抖音--海澜优选家纺家居旗舰店,6,7
抖音--海澜优选家纺家居旗舰店,7,1
抖音--海澜优选家纺家居旗舰店,9,85
抖音--海澜优选集合店（2）,4,7
抖音--海澜优选集合店（2）,5,99
抖音--海澜优选集合店（2）,6,43
抖音--海澜优选集合店（2）,7,14
抖音--海澜优选集合店（2）,8,46
抖音--海澜优选集合店（2）,9,111
抖音-半自由旗舰店,9,9
拼多多-海澜优选HEILAN  HOME,8,10
拼多多-海澜优选HEILAN  HOME,9,709
海澜优选HEILAN HOME宠物用品官方旗舰店,9,8
海澜优选家居官方旗舰店,9,1
线下,4,3
线下,6,0
线下,7,1
线下,8,13
线下,9,12
